,ClusterNo2,Date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
72,0,2012-07-29 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.5660001,0.0,0.0,0.0,10.778500050000002,47.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.700000050000003,106.245,0.0,0.0
73,0,2012-08-11 00:00:00,30.134000000000004,0.0,20.8289999,185.155,44.2315,0.0,9.4024999,185.82599999999996,74.226,0.0,20.13600005,187.29750000000004,81.61500000000001,0.0,0.0,0.0,0.0,0.0,72.3369999,151.45499999999998,0.0,0.0,127.41050000000001,125.03300000000004
74,0,2012-08-12 00:00:00,0.0,0.0,147.97449999999998,90.54299999999999,0.0,0.0,160.20450010000002,79.57950000000001,0.0,50.40650005,180.41950000000003,49.201499999999996,0.0,0.0,0.0,0.0,0.0,80.96900000000001,131.325,0.0,0.0,129.58550000000002,127.877,0.0
75,0,2012-08-18 00:00:00,2.826,184.74699999999999,22.632,0.0,0.0,142.32349985,69.61099999999999,0.0,157.8115,168.2015,205.35450000000003,71.923,0.0,0.0,0.0,0.0,0.0,178.28450004999996,108.49849999999999,0.0,53.096999999999994,175.015,27.714000000000002,0.0
76,0,2012-08-19 00:00:00,95.4085,91.83850000000001,0.0,0.0,124.21599995,75.2175,0.0,3.17350005,190.3735,82.44950000000001,0.0,124.70499970000002,0.0,0.0,31.631999949999997,87.66699999999999,0.0,0.0,29.827,179.131,42.88799999999999,0.0,138.98150015000002,80.17850000000001
77,0,2012-08-20 00:00:00,0.0,5.81,180.3595,7.355500000000001,0.0,117.79350005,56.954499999999996,23.83149985,195.1975,167.1094999,164.64100000000002,50.6075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.05900000000003,0.0,7.0905,169.91100000000003
78,0,2012-08-25 00:00:00,0.0,152.47150004999997,45.7865,0.0,151.94399995,45.44649999999999,0.0,153.87,102.249,110.18150005000001,213.42550005,187.3915,108.498,71.75250000000001,16.4985,0.0,0.0,66.491,167.8725002,0.0,85.7105,128.269,0.0,127.606
79,0,2012-08-26 00:00:00,81.21699999999998,0.0,146.7695,45.84250000000001,0.0,174.00549990000002,21.341500000000003,10.439,196.2165,53.0535,75.3690005,180.73249984999998,150.86950000000002,0.0,0.0,160.46750005,81.701,0.0,142.06750010000002,84.42150000000001,19.8475,190.928,15.919,20.916500000000006
80,0,2012-09-01 00:00:00,0.0,92.33750004999999,140.94299999999998,0.0,0.0,175.34449999999998,52.057,0.0,195.61349995,175.234,170.5325,47.81250020000002,72.949,0.0,0.0,0.0,0.0,0.0,0.0,141.30949999999999,103.8435,0.0,76.2105,127.4705
81,0,2012-09-02 00:00:00,0.0,62.542,138.513,0.0,31.5905001,150.5215,0.0,71.42599995,194.012,205.6405,71.032,134.94249995,38.76599995000001,72.2205,0.0,0.0,3.24399985,140.929,61.521000050000005,175.61200000000002,0.0,85.52799999999999,108.0075,0.0
82,0,2012-09-08 00:00:00,106.419,0.0,53.601999899999996,126.71350000000001,0.0,46.148,127.645,0.0,68.0939999,183.12450005,186.33700000000002,46.267,0.0,0.0,32.4434999,74.715,86.8245,175.6885,27.3155,18.4829999,163.20700000000002,0.0,43.61550014999999,149.41250000000002
83,0,2012-09-09 00:00:00,0.0,23.2505002,145.714,0.0,0.0,130.93799995,43.40300000000001,0.0,94.82300004999999,172.3655,0.0,121.82550025,55.93149989999999,0.0,0.0,104.7485001,132.8465,0.0,90.0215,0.0,132.56799995,58.807500000000005,0.0,141.42799995000001
84,0,2012-09-15 00:00:00,8.394,0.0,155.6935,16.5825,0.0,121.88699994999999,43.49100000000001,0.0,122.7175,181.0295003,0.0,99.9265,58.18249994999999,49.831499949999994,17.049,56.754999999999995,50.2690001,85.74700005,139.64100000000002,0.0,60.7015,121.836,0.0,74.66150015
85,0,2012-09-16 00:00:00,107.4305,0.0,62.16899995,107.962,0.0,46.019,126.608,0.0,55.42799995,171.33050005,68.90950000000001,60.772,49.4885,0.0,0.0,0.0,0.0,0.0,60.343,148.28650000000002,0.0,115.23849994999999,124.53250000000001,0.0
86,0,2012-09-22 00:00:00,173.436,0.0,74.58349985000001,103.9615,0.0,103.16249995000001,78.825,0.0,200.2795,174.14100000000002,168.82800000000003,165.87900000000002,108.63149999999999,64.51950015,0.0,59.63200005,0.0,0.0,0.0,108.40549990000001,180.1789998,129.796,0.0,73.0075
87,0,2012-09-23 00:00:00,112.494,0.0,89.14199989999999,88.58700000000002,0.0,112.47299990000002,62.276,0.0,188.97450005000002,176.3189999,125.8105,71.66999995,63.15549995,65.474,63.003999949999994,63.86800015,53.820499999999996,30.574,118.8195,175.34950015,53.0435,39.283500049999994,146.0905,0.0
88,0,2012-09-29 00:00:00,0.0,104.99799994999998,73.6265,0.0,114.95699995,83.559,0.0,134.9625,122.86649999999999,50.68749995,245.86300000000006,32.936,57.505499949999994,169.28300000000002,84.977,58.1295,0.0,0.0,94.9894998,82.0025,0.0,123.74250005,64.0115,0.0
